Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,278.195452,249.2854633,239.6194956,212.4869881,188.3357611,194.5678909,248.0928701,280.9527058,301.9534887,294.0437243,339.6318225,334.759654,349.7081076,325.1536665,187.8151379,229.83266,243.5269235,224.6113439,250.4139444,293.8874446,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503
Burundi,213.2534354,215.7876028,220.1570099,229.1177255,203.85983,232.4118246,238.3569167,219.3713007,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895426,130.7530239,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314
Cabo Verde,448.3971307,433.6239611,430.9607439,418.3936829,393.53104,405.23313,553.7822458,674.6226599,748.2543825,746.7501645,841.8050176,858.0870372,935.1061412,1251.866347,1012.263391,1184.176735,1192.329985,1139.217697,1185.58374,1317.573685,1176.707258,1208.457609,1311.214581,1693.978552,1900.888465,1972.784926,2220.098175,3268.305696,3839.863636,3592.315879,3500.977468,3880.069205,3583.461725,3757.659953,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317,3126.399859,3398.165376,3754.304794
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,247.3485844,262.4428949,315.142348,313.5846723,301.2196654,267.4097962,295.5912853,301.5165985,322.8998639,341.0367658,364.2753017,410.0861329,475.0693943,539.7473654,629.9210766,742.3979723,734.8151187,782.6957386,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854,1577.91174,1625.235021,1759.608023
Cameroon,783.4101454,748.7713983,730.7688952,743.4740688,768.9839825,871.5411186,1172.490248,1250.697604,1137.225182,993.0873595,1077.333545,1005.304363,995.3144925,1295.916464,692.8587335,822.3632126,817.1840942,773.9271467,789.274292,786.8458881,700.1632362,706.9842175,780.2705532,976.5193035,1119.980862,1129.357979,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912,1539.130545,1654.257037,1563.48894
Canada,11208.20274,12379.03686,12527.31353,13477.10317,13930.47455,14170.12494,14521.18008,16377.69021,19012.57233,20794.68223,21525.86114,21846.79305,20950.33053,20186.79888,19997.62374,20679.63479,21296.97235,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275,43349.67786,52358.62164,54917.66252
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87184.51214,89960.68373,89704.22361,81398.32263,76873.19428,75435.61422,75466.13655,75685.35737,76610.64846,77295.84529,78858.28026,81255.11246,85231.77425,89846.32122,83897.50544,88475.60047,99624.88544
Central African Republic,330.0029473,284.6377618,303.2508417,263.9894692,252.7485896,338.7483079,434.3751153,459.1660548,476.0208591,452.9665593,512.850879,475.2761464,471.9406393,413.9594767,267.0062766,340.39968,299.6194897,271.1433006,272.1015401,273.4279279,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962
Chad,234.3349607,198.8870058,180.4890555,171.308123,186.7885936,207.9619512,208.6351825,219.4792181,270.3970496,252.8271273,298.3670792,310.659553,298.5673114,226.9211579,178.9531808,209.8925997,223.2333882,207.3165614,226.328772,192.269472,168.1176582,200.3610081,225.947311,298.2498817,460.0670183,664.597656,716.6677684,806.7103188,936.4941371,808.1615235,896.8767046,988.19416,969.6161428,980.0835444,1017.787762,774.4116031,691.9800774,662.897473,720.2651014,701.621201,643.7722157,685.690315,716.8043811
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41229.01427,43247.686,44318.2211,42678.27703,45279.64194,49428.30976,57200.46646,58550.65717,63665.31535,75148.34944,..,..,..,..,..,..,..,..,58093.99606,57683.8939,62316.21995,61281.32722,57339.52687,67960.727,..
Chile,2531.573261,2965.37426,1653.986331,1700.16236,1619.374376,1437.375712,1510.016985,1750.264117,2015.930284,2280.265385,2483.560862,2790.616551,3333.958672,3520.932955,4010.970995,5094.393483,5376.770578,5789.705046,5467.188188,4980.010802,5102.968761,4610.592695,4477.187853,4823.257421,6185.303785,7560.543671,9418.274924,10456.83238,10797.04737,10204.55885,12764.59312,14637.75617,15397.78046,15842.15916,14675.15087,13567.35722,13788.24002,15034.05843,15820.03336,14632.69031,13173.78479,16240.60778,15355.47974
China,312.0203772,291.3582375,281.4993337,297.8070225,302.5858247,294.7897349,281.6994952,301.7332495,370.2192845,407.8926582,347.5783659,359.2132687,423.3044301,525.3656924,473.4899164,609.6043379,709.4158882,781.7425612,828.594691,873.297611,959.3604313,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12720.21632
Colombia,1275.996593,1358.485452,1421.921688,1381.120048,1333.370911,1189.869402,1166.300797,1188.551777,1254.531546,1238.603367,1467.547436,1491.856728,1720.568558,1920.398966,2314.90099,2571.46819,2652.103881,2860.04094,2595.543011,2236.072926,2546.850214,2465.007012,2421.162104,2305.170507,2811.459451,3448.538323,3782.603496,4762.083068,5534.689447,5245.951584,6392.758026,7392.9436,8096.80151,8263.641929,8167.472842,6228.651622,5936.261022,6449.970987,6782.03792,6436.509215,5304.289129,6182.707099,6624.165393
Comoros,646.3605345,580.9410199,530.2043595,538.0568569,505.1009277,523.6951852,723.1827601,850.4331274,873.6247033,813.8460197,996.5280531,958.9211501,1009.710262,977.4743806,674.1373079,823.6766103,801.26122,721.6273006,717.3181317,726.4888885,654.1804308,691.041978,761.9478882,959.2289876,1090.427169,1103.195417,1155.085675,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465
"Congo, Dem. Rep.",..,..,..,..,316.6358841,194.1344262,253.5208804,219.3351243,272.8094683,253.3187636,259.237092,..,230.8757768,272.0507931,140.2119333,130.3757303,130.8165421,135.8888891,135.4773904,99.75725083,392.6263338,148.4471235,168.9448053,167.9815754,187.856781,211.5726297,247.5419356,277.6120796,317.8892101,290.1556751,324.8277261,376.3749811,412.7762605,444.8643576,472.2662357,482.0645686,456.0279506,451.0890885,546.2125932,575.8827814,524.6666862,576.9747294,653.6562231
"Congo, Rep.",932.508546,1065.741616,1130.258493,1074.505323,1095.837852,1047.667839,870.2999734,1049.84783,981.893651,1030.362506,1173.264436,1110.972104,1163.534935,1034.753194,662.8773341,771.6139457,902.0457464,807.8918994,663.7287028,780.5897055,1029.960689,859.4400125,910.8697108,1023.088496,1314.411281,1810.588942,2116.868943,2219.912307,2848.653163,2283.949872,2962.762481,3415.062374,3753.860928,3719.651036,3623.80746,2455.34791,2107.503024,2227.720139,2715.243105,2508.944783,2011.269479,2540.473212,2649.225022
Costa Rica,2001.176738,1057.416332,1021.892737,1199.898659,1357.643297,1414.128192,1551.691775,1549.941803,1537.461223,1705.431654,1808.495959,2221.474653,2578.025038,2814.044541,3005.540317,3240.711145,3194.112988,3373.410585,3580.933885,3653.754208,3773.033793,3941.598643,4021.425361,4123.506487,4376.080428,4643.45857,5188.361792,6055.086779,6841.91146,6737.860751,8147.243985,9137.455101,9971.651656,10633.26655,10737.67888,11529.95517,11899.81398,12118.13362,12383.14995,12669.34115,12179.25667,12604.04884,13365.3564
Cote d'Ivoire,1225.415513,978.0747677,845.6649778,736.7106159,711.0852573,700.2808237,888.3413756,945.9986255,928.6417264,851.2133952,906.4115132,848.2820276,868.7255417,829.4824768,602.33197,769.2556836,1220.121444,1176.851967,1237.131417,1154.479067,986.7773528,974.779985,1020.950492,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194
