Country Name,GDP per capita,CO2 emissions,Total greenhouse gas emissions,Forest area,"Population, total",Methane emissions
Zambia,956.831729,0.401902713,36107.82044,60.28333714,18927715,15448.75233
Zimbabwe,1372.696674,0.530483547,25988.12599,45.09391237,15669666,12060.82302
Afghanistan,512.0550982,0.223478872,31119.04539,1.852781994,38972230,16222.03596
Albania,5343.037704,1.544550115,8304.29494,28.7919708,2837849,2692.195886
Andorra,37207.23887,5.777147992,577.573639,34.04255319,77700,53.600959
Armenia,4505.867742,2.404683762,10422.04117,11.5374078,2805608,2319.921617
Austria,48789.49785,6.632645737,71017.8287,47.25096946,8916864,6863.078458
Azerbaijan,4229.910649,3.398849573,55351.99383,13.69418968,10093121,15733.13101
Bangladesh,2233.305901,0.510647559,206570.3527,14.46877161,167420951,88903.99717
Belarus,6542.86454,5.842407296,87868.32147,43.19440339,9379952,17079.26291
Belgium,45609.00349,7.398130658,100063.4878,22.76420079,11538604,7974.086619
Bhutan,3181.339747,1.340054317,1630.8557,71.44939696,772506,451.523887
Bosnia and Herzegovina,6095.104237,6.312305874,26053.3501,42.73261719,3318407,3660.954549
Bulgaria,10148.3424,4.923280379,46492.85461,35.86035372,6934015,6980.496622
Channel Islands,57339.52687,..,..,5.151515152,171113,..
Croatia,14269.90885,3.860705392,21379.32606,34.65171551,4047680,3668.675985
Cyprus,28281.42578,5.471998009,8109.206812,18.67207792,1237537,749.702555
Czechia,22992.87938,8.304017496,108308.4176,34.67799193,10697858,12381.5937
Denmark,60836.59241,4.691237308,41135.55451,15.711,5831404,7778.773921
Estonia,23595.24368,5.338399816,10198.8019,57.03859649,1329522,1097.115979
Faroe Islands,62234.96868,..,..,0.058565154,52415,..
Finland,49169.71934,6.570145128,47740.49323,73.72836744,5529543,4506.322031
France,39179.74426,3.953682452,376006.2454,31.50904837,67571107,58451.48747
Georgia,4255.742993,2.754709196,17669.44862,40.61591596,3722716,5133.092908
Germany,46749.47623,7.255221028,692750.7552,32.68267552,83160871,46917.60037
Gibraltar,..,..,..,0,32709,..
Greece,17617.29151,4.767184937,69283.30669,30.26997673,10698599,9405.825274
Greenland,54693.07668,..,..,0.000535997,56367,..
Hungary,16125.60941,4.591652907,59596.52966,22.49627438,9750149,6956.244958
Iceland,58848.41812,3.947465365,2653.430657,0.509273034,366463,515.164553
India,1913.219733,1.576093232,3200820.626,24.27022827,1396387127,697654.6707
Ireland,85973.08849,6.76822759,59497.73471,11.35172013,4985382,15252.82463
Isle of Man,79530.60548,..,..,6.070175439,84046,..
Italy,31922.91916,4.732372771,352128.8891,32.34893496,59438851,43888.65304
Kazakhstan,9121.636409,11.29774331,294805.9457,1.279653295,18755666,69749.45146
Kosovo,4310.934002,..,..,..,1790133,..
Kyrgyz Republic,1256.929226,1.37997538,16093.54198,6.858081335,6579900,4864.996701
Latvia,18096.20271,3.645612168,11436.59559,54.80941668,1900449,1952.810529
Liechtenstein,165287.1868,3.663847998,157.560064,41.875,38756,2.588257
Lithuania,20381.85578,4.184000415,19784.73208,35.14851485,2794885,2998.360922
Luxembourg,116905.3704,12.45695323,8813.977022,34.45382721,630419,555.763012
Maldives,7216.816371,2.826385298,1994.511834,2.733333333,514438,137.66522
Moldova,4376.242493,3.267846368,12985.65753,11.75322187,2635130,3287.202022
Monaco,182537.3874,..,..,0,36922,..
Montenegro,7677.371321,4.067560912,3764.437423,61.48698885,621306,783.237121
Nepal,1139.189892,0.509366247,45868.55644,41.59072201,29348627,23643.67208
Netherlands,52162.57012,7.471553479,155912.4883,10.97416097,17441500,15200.5766
North Macedonia,5965.450232,3.279420187,9768.859944,39.71015067,2072531,2369.77411
Norway,68340.0181,6.72508005,46116.8172,33.43535968,5379475,4342.761259
Pakistan,1322.314785,0.810360216,436608.9225,4.833307389,227196741,169428.2367
Poland,15816.8204,7.367563373,338383.8449,30.9770359,37899070,29540.38185
Portugal,22242.40642,3.784907587,55640.70734,36.15499489,10297081,11383.20988
Romania,13047.45666,3.564137501,95744.39542,30.11582928,19265250,16458.96123
Russian Federation,10194.44141,11.23228807,2331479.378,49.78433608,144073139,617227.2995
San Marino,45321.48922,..,..,16.66666667,34007,..
Serbia,7733.803469,6.714517172,62883.94612,32.37780949,6899126,11734.80539
Slovak Republic,19552.09111,5.319054808,35984.33182,40.05615641,5458827,4410.301876
Slovenia,25558.42905,5.934735179,15286.67677,61.47225919,2102419,1697.1412
Spain,26984.29628,4.279594571,270310.9717,37.17730549,47365655,39703.22586
Sri Lanka,3852.389091,0.996683243,35117.25456,34.15809893,21919000,8377.671174
Sweden,52837.90398,3.242989143,45458.82211,68.69907031,10353442,4792.09356
Switzerland,85897.78433,4.042072815,43987.63547,32.12153594,8638167,4975.239558
Tajikistan,852.3302296,0.977533024,17692.28592,3.053534116,9543207,5520.881442
Turkiye,8638.739133,4.885863926,504956.3259,28.8714837,83384680,50444.76645
Turkmenistan,7330.366288,10.1840863,194091.8305,8.782159045,6250438,124818.6445
Ukraine,3751.737305,3.753816189,227341.5857,16.72419745,44132049,32317.87499
United Kingdom,40217.00901,4.601142251,398323.6546,13.18563221,67081234,50415.67463
Uzbekistan,1759.307471,3.376303785,187520.3945,8.373221378,34232050,53601.94309
